TIME,VALUE,Device ID
280675,2475,1
280695,2466,1
280715,2460,1
280755,2459,1
280785,2482,1
280795,2459,1
280815,2469,1
280845,2454,1
280865,2464,1
280875,2463,1
280885,2463,1
280895,2469,1
280915,2467,1
280935,2459,1
280955,2468,1
280975,2459,1
281005,2461,1
281015,2461,1
281035,2455,1
281055,2473,1
281075,2466,1
281095,2470,1
281115,2467,1
281135,2471,1
281155,2415,1
281175,2469,1
281195,2466,1
281215,2467,1
281235,2475,1
281255,2475,1
281275,2451,1
281295,2429,1
281315,2471,1
281335,2455,1
281355,2466,1
281375,2464,1
281395,2460,1
281415,2460,1
281435,2448,1
281455,2478,1
281475,2470,1
281495,2468,1
281515,2469,1
281535,2469,1
281555,2475,1
281575,2432,1
281595,2469,1
281615,2480,1
281635,2460,1
281655,2474,1
281675,2467,1
281695,2465,1
281715,2469,1
281735,2467,1
281755,2469,1
281775,2469,1
281795,2461,1
281815,2402,1
281835,2467,1
281855,2466,1
281875,2475,1
281895,2472,1
281915,2467,1
281935,2469,1
281955,2473,1
281975,2468,1
281995,2465,1
282015,2455,1
282045,2461,1
282055,2464,1
282075,2463,1
282095,2465,1
282115,2475,1
282135,2466,1
282155,2470,1
282175,2467,1
282195,2471,1
282215,2479,1
282235,2461,1
282255,2469,1
282275,2473,1
282295,2450,1
282315,2470,1
282335,2469,1
282355,2464,1
282375,2475,1
282395,2471,1
282415,2483,1
282435,2448,1
282455,2493,1
282475,2479,1
282495,2463,1
282515,2463,1
282535,2468,1
282555,2466,1
282575,2467,1
282595,2514,1
282615,2469,1
282635,2476,1
282655,2467,1
282675,2471,1
282695,2467,1
282715,2469,1
282735,2467,1
282755,2471,1
282775,2469,1
282795,2464,1
282815,2485,1
282835,2482,1
282855,2463,1
282875,2481,1
282895,2465,1
282915,2467,1
282935,2469,1
282955,2458,1
282975,2468,1
282995,2471,1
283015,2454,1
283035,2458,1
283055,2457,1
283075,2457,1
283095,2480,1
283115,2453,1
283135,2451,1
283155,2467,1
283175,2468,1
283195,2475,1
283215,2463,1
283235,2477,1
283255,2470,1
283275,2469,1
283295,2486,1
283315,2462,1
283335,2459,1
283355,2474,1
283375,2470,1
283395,2475,1
283415,2470,1
283435,2469,1
283455,2463,1
283475,2467,1
283495,2467,1
283515,2467,1
283535,2483,1
283555,2466,1
283575,2480,1
283595,2475,1
283615,2469,1
283635,2475,1
283655,2473,1
283675,2473,1
283695,2475,1
283715,2470,1
283735,2467,1
283755,2479,1
283775,2462,1
283795,2462,1
283815,2466,1
283835,2461,1
283855,2470,1
283875,2462,1
283895,2467,1
283915,2467,1
283935,2469,1
283955,2458,1
283975,2472,1
283995,2466,1
284015,2483,1
284035,2465,1
284055,2454,1
284075,2463,1
284095,2468,1
284115,2463,1
284135,2464,1
284155,2455,1
284175,2453,1
284195,2465,1
284215,2475,1
284235,2465,1
284255,2466,1
284275,2465,1
284295,2464,1
284315,2524,1
284335,2468,1
284355,2467,1
284375,2465,1
284395,2467,1
284415,2451,1
284435,2465,1
284455,2464,1
284475,2464,1
284495,2474,1
284515,2461,1
284535,2475,1
284555,2448,1
284575,2470,1
284595,2465,1
284615,2467,1
284635,2473,1
284655,2457,1
284675,2477,1
284695,2467,1
284715,2455,1
284735,2475,1
284755,2468,1
284775,2473,1
284795,2467,1
284815,2467,1
284835,2470,1
284855,2470,1
284875,2455,1
284915,2457,1
284945,2461,1
284965,2455,1
284985,2487,1
285005,2462,1
285015,2462,1
285025,2459,1
285035,2466,1
285055,2474,1
285075,2463,1
285095,2469,1
285115,2467,1
285135,2462,1
285155,2461,1
285175,2463,1
285195,2373,1
285215,2458,1
285235,2459,1
285255,2474,1
285275,2478,1
285295,2467,1
285315,2469,1
285335,2466,1
285355,2465,1
285375,2470,1
285395,2482,1
285415,2463,1
285435,2466,1
285455,2467,1
285475,2470,1
285495,2462,1
285515,2467,1
285535,2471,1
285555,2471,1
285575,2474,1
285595,2466,1
285615,2464,1
285635,2475,1
285655,2473,1
285675,2466,1
285695,2422,1
285715,2458,1
285735,2471,1
285755,2469,1
285775,2467,1
285795,2466,1
285815,2469,1
285835,2425,1
285855,2479,1
285875,2466,1
285895,2467,1
285915,2471,1
285935,2466,1
285955,2460,1
285975,2459,1
285995,2463,1
286015,2466,1
286035,2463,1
